Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2004-08-19,100.01,104.06,95.96,100.335,44659000.0,0.0,1.0,50.159838616563455,52.19110895350058,48.12856827962632,50.32284179174976,44659000.0
2004-08-20,101.01,109.08,100.5,108.31,22834300.0,0.0,1.0,50.66138684790595,54.70888107483993,50.40559724992128,54.32268893670621,22834300.0
2004-08-23,110.76,113.48,109.05,109.4,18256100.0,0.0,1.0,55.55148210349533,56.91569329274693,54.693834627899655,54.86937650886953,18256100.0
2004-08-24,111.24,111.6,103.57,104.87,15247300.0,0.0,1.0,55.79222525453973,55.97278261782303,51.94535032014275,52.597363020888004,15247300.0
2004-08-25,104.76,108.0,103.88,106.0,9188600.0,0.0,1.0,52.54219271544033,54.167208984990026,52.100830271858925,53.164112522305025,9188600.0
2004-08-26,104.95,107.95,104.66,107.91,7094800.0,0.0,1.0,52.637486879395404,54.1421315734229,52.49203789230607,54.1220696441692,7094800.0
2004-08-27,108.1,108.62,105.69,106.15,6211700.0,0.0,1.0,54.217363808124276,54.47816888842238,53.00863257058885,53.23934475700641,6211700.0
2004-08-30,105.28,105.49,102.01,102.01,5196700.0,0.0,1.0,52.80299779573843,52.90832292432035,51.162935079248456,51.162935079248456,5196700.0
2004-08-31,102.32,103.71,102.16,102.37,4917800.0,0.0,1.0,51.31841503096462,52.0155670725307,51.23816731394982,51.343492442531755,4917800.0
2004-09-01,102.7,102.97,99.67,100.25,9138200.0,0.0,1.0,51.50900335887478,51.64442138133725,49.989312217907,50.280210192085654,9138200.0
2004-09-02,99.09,102.37,98.94,101.51,15118600.0,0.0,1.0,49.69841424372835,51.343492442531755,49.623182009026976,50.91216096357721,15118600.0
2004-09-03,100.95,101.74,99.32,100.01,5152400.0,0.0,1.0,50.6312939540254,51.027517056785975,49.813770336937125,50.159838616563455,5152400.0
2004-09-07,101.01,102.0,99.61,101.58,5847500.0,0.0,1.0,50.66138684790595,51.157919596935024,49.95921932402645,50.947269339771175,5847500.0
2004-09-08,100.74,103.03,100.5,102.3,4985600.0,0.0,1.0,50.52596882544347,51.6745142752178,50.40559724992128,51.30838406633777,4985600.0
2004-09-09,102.5,102.71,101.0,102.31,4061700.0,0.0,1.0,51.40869371260628,51.5140188411882,50.65637136559253,51.313399548651205,4061700.0
2004-09-10,101.47,106.56,101.3,105.33,8698800.0,0.0,1.0,50.8920990343235,53.44497953185683,50.806835834995276,52.82807520730555,8698800.0
2004-09-13,106.63,108.41,106.46,107.5,7844100.0,0.0,1.0,53.4800879080508,54.37284375984045,53.394824708722574,53.91643486931878,7844100.0
2004-09-14,107.44,112.0,106.79,111.49,10828900.0,0.0,1.0,53.88634197543823,56.17340191036003,53.560335625065605,55.917612312375354,10828900.0
2004-09-15,110.56,114.23,110.2,112.0,10713000.0,0.0,1.0,55.45117245722683,57.29185446625381,55.27061509394353,56.17340191036003,10713000.0
2004-09-16,112.34,115.8,111.65,113.97,9266300.0,0.0,1.0,56.34392830901648,58.07928518946153,55.997860029390154,57.16145192610475,9266300.0
2004-09-17,114.42,117.49,113.55,117.49,9472500.0,0.0,1.0,57.387148630208884,58.926901700430356,56.950801668940905,58.926901700430356,9472500.0
2004-09-20,116.95,121.6,116.77,119.36,10628700.0,0.0,1.0,58.65606565550541,60.988264931248025,58.56578697386375,59.86479689304083,10628700.0
2004-09-21,120.2,120.42,117.51,117.84,7228700.0,0.0,1.0,60.28609740736853,60.39643801826388,58.936932665057206,59.10244358140023,7228700.0
2004-09-22,117.45,119.67,116.81,118.38,7581200.0,0.0,1.0,58.90683977117666,60.02027684475701,58.58584890311746,59.37327962632518,7581200.0
2004-09-23,118.84,122.63,117.02,120.82,8535600.0,0.0,1.0,59.603991812742734,61.504859609530804,58.691174031699376,60.59705731080088,8535600.0
2004-09-24,120.97,124.1,119.76,119.83,9123400.0,0.0,1.0,60.67228954550226,62.24213550960428,60.06541618557783,60.100524561771806,9123400.0
2004-09-27,119.56,120.88,117.8,118.26,7066100.0,0.0,1.0,59.96510653930933,60.62715020468143,59.08238165214653,59.313093838564086,7066100.0
2004-09-28,121.15,127.4,120.21,126.86,16929000.0,0.0,1.0,60.76256822714391,63.897244673034535,60.291112889681955,63.62640862810958,16929000.0
2004-09-29,126.53,135.02,126.23,131.08,30516400.0,0.0,1.0,63.460897711766556,67.71904219586439,63.31043324236381,65.74294216437494,30516400.0
2004-09-30,129.899,132.3,129.0,129.6,13758000.0,0.0,1.0,65.15061370315944,66.35483100661278,64.69972184318253,65.00065078198803,13758000.0
2004-10-01,130.8,134.24,128.9,132.58,15124800.0,0.0,1.0,65.60250865959904,67.32783457541724,64.64956702004828,66.4952645113887,15124800.0
2004-10-04,135.275,136.87,134.03,135.06,13022700.0,0.0,1.0,67.84693699485672,68.64690642384801,67.22250944683532,67.73910412511809,13022700.0
2004-10-05,134.66,138.53,132.24,138.37,14973200.0,0.0,1.0,67.53848483258108,69.47947648787657,66.32473811273223,69.39922877086177,14973200.0
2004-10-06,137.67,138.45,136.0,137.08,13381400.0,0.0,1.0,69.048145008922,69.43935262936915,68.21055946258004,68.75223155242995,13381400.0
2004-10-07,136.56,139.88,136.55,138.85,14115000.0,0.0,1.0,68.49142647213183,70.15656660018894,68.48641098981841,69.63997192190615,14115000.0
2004-10-08,138.73,139.68,137.02,137.73,11069500.0,0.0,1.0,69.57978613414505,70.05625695392044,68.7221386585494,69.07823790280256,11069500.0
